#separator:tab
#html:true
################################################################################
# NETACAD MODULE 10
What transport protocol does DHCP use?  UDP
What port is DHCP served on?    UDP port 67 for the server and port 68 for the client.
What are the DHCP packets to request an IP? DORA: Discover, Offer, Request, Ack.
#
What is NAT?    Network Address Translation -- the process of mapping an internal private IP to an external IP. For Cisco devices NAT is often a 1:1 mapping.
What is PAT?    Port Address Translation -- the process of mapping many internal private IPs to a single external IP using source port numbers on the public interface to identify each flow.
#
What transport protocol does FTP use?   TCP.
What transport protocol does TFTP use?  UDP.
#
What are the steps in a HTTPS handshake?    The client sends a request to the server for a secure session. The server responds by sending its X.509 digital certificate to the client. The client authenticates the server, using a list of known certificate authorities. The client generates a random symmetric key and encrypts it using server's public key. The client and server now both know the symmetric key and can use the SSL encryption process to encrypt and decrypt the information contained in the client request and the server response.
How is HTTP/2 different from HTTP?  It is a binary protocol which allows multiplexing, header compression, and server push.
#
What are three protocols used for email?    SMTP (delivery of email), POP3 and IMAP (collection of email).
